datasheet_id|line|description|cost|
000000101|1|YOUR UNIT COSTS||
000000101|2|1 model|85|
000000102|1|YOUR 1ST TO 2ND UNITS COST||
000000102|2|1 Warden Sergeant and 4 Wardens|90|
000000102|3|1 Warden Sergeant and 9 Wardens|180|
000000102|4|Warden Champion|+15|
000000102|5|YOUR 3RD + UNIT COSTS||
000000102|6|1 Warden Sergeant, 4 Wardens|100|
000000102|7|1 Warden Sergeant, 9 Wardens|200|
000000102|8|+ <!-- -->1 Ash Sentry|20|
000000103|1|YOUR UNIT COSTS||
000000103|2|1 model|150|
000000103|3|WARGEAR OPTIONS||
000000103|4|per Fusion beamer|10|
000000104|1|YOUR UNIT COSTS||
000000104|2|10 Thornlings|60|
000000104|3|20 Thornlings|120|
000000105|1|YOUR UNIT COSTS||
000000105|2|1 model|210|
000000106|1|YOUR 1ST UNIT COSTS||
000000106|2|1 model|70|
000000106|3|YOUR 2ND + UNIT COSTS||
000000106|4|1 model|80|
000000108|1|YOUR UNIT COSTS||
000000108|2|5 models|70|
000000108|3|10 models|140|
