datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|
000000101|1|1||Flux pistol|Pistol, Precision|12|Ranged|1|2+|5|-1|2|
000000101|2|2||Relic blade|Devastating Wounds|Melee|Melee|5|2+|6|-2|2|
000000102|1|1||Flux carbine|Rapid Fire 1|24|Ranged|2|3+|5|-1|1|
000000102|2|2||Shock maul|Sustained Hits 1|Melee|Melee|3|3+|5|-1|1|
000000102|3|3||Power fist|Lethal Hits|Melee|Melee|3|3+|8|-2|2|
000000103|1|1||Vortex cannon|Blast, Heavy|36|Ranged|D6|3+|9|-2|3|
000000103|2|2||Fusion beamer|Melta 2|12|Ranged|1|3+|9|-4|D6|
000000103|3|3||Twin hail gun|Twin-linked, Sustained Hits 1|24|Ranged|6|3+|5|-1|1|
000000103|4|4||Crusher fists||Melee|Melee|4|3+|12|-3|4|
000000104|1|1||Spine flick|Assault|12|Ranged|1|4+|3|0|1|
000000104|2|2||Barbed claws|Lethal Hits|Melee|Melee|2|4+|3|0|1|
000000105|1|1||Spine volley|Torrent, Ignores Cover|18|Ranged|D6+3|N/A|6|-1|1|
000000105|2|2||Acid lance|Anti-vehicle 4+, Devastating Wounds|24|Ranged|2|3+|12|-3|D6+1|
000000105|3|3||Rending talons|Precision|Melee|Melee|6|3+|9|-2|3|
000000106|1|1||Mind bolt|Psychic, Hazardous|18|Ranged|2|3+|6|-2|D3|
000000106|2|2||Seer’s claws||Melee|Melee|3|4+|4|0|1|
